Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF
1,10,RL,65.0,8450,1,1,3,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,4,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,2,4,PConc,2,4,3,2,706.0,6,0.0,150.0,856.0,GasA,0,1,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,2,8,6,0,3,Attchd,2003.0,2,2.0,548.0,5,5,2,0,61,0,0,0,0,3,4,None,0,4,2,WD,Normal,2566.0
2,5,RL,80.0,9600,1,1,3,Lvl,FR2,0,Veenker,Feedr,Norm,1Fam,1Story,6,7,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,2,4,1,0,978.0,6,0.0,284.0,1262.0,GasA,0,1,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,3,6,6,1,5,Attchd,1976.0,2,2.0,460.0,5,5,2,298,0,0,0,0,0,3,4,None,0,7,1,WD,Normal,2524.0
3,10,RL,68.0,11250,1,1,0,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,4,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,2,4,PConc,2,4,2,2,486.0,6,0.0,434.0,920.0,GasA,0,1,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,2,6,6,1,5,Attchd,2001.0,2,2.0,608.0,5,5,2,0,42,0,0,0,0,3,4,None,0,11,2,WD,Normal,2706.0
4,11,RL,60.0,9550,1,1,0,Lvl,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,7,4,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,4,BrkTil,4,1,3,0,216.0,6,0.0,540.0,756.0,GasA,2,1,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,2,7,6,1,2,Detchd,1998.0,3,3.0,642.0,5,5,2,0,35,272,0,0,0,3,4,None,0,4,0,WD,Abnorml,2473.0
5,10,RL,84.0,14260,1,1,0,Lvl,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,8,4,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,2,4,PConc,2,4,0,2,655.0,6,0.0,490.0,1145.0,GasA,0,1,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,2,9,6,1,5,Attchd,2000.0,2,3.0,836.0,5,5,2,192,84,0,0,0,0,3,4,None,0,3,2,WD,Normal,3343.0
6,9,RL,85.0,14115,1,1,0,Lvl,Inside,0,Mitchel,Norm,Norm,1Fam,1.5Fin,5,4,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,Wood,2,4,3,2,732.0,6,0.0,64.0,796.0,GasA,0,1,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,3,5,6,0,3,Attchd,1993.0,3,2.0,480.0,5,5,2,40,30,0,320,0,0,3,2,Shed,700,1,3,WD,Normal,2158.0
7,5,RL,75.0,10084,1,1,3,Lvl,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,4,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,2,4,PConc,0,4,0,2,1369.0,6,0.0,317.0,1686.0,GasA,0,1,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,2,7,6,1,2,Attchd,2004.0,2,2.0,636.0,5,5,2,255,57,0,0,0,0,3,4,None,0,10,1,WD,Normal,3380.0
8,10,RL,80.0,10382,1,1,0,Lvl,Corner,0,NWAmes,PosN,Norm,1Fam,2Story,7,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,4,CBlock,2,4,2,0,859.0,1,32.0,216.0,1107.0,GasA,0,1,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,3,7,6,2,5,Attchd,1973.0,2,2.0,484.0,5,5,2,235,204,228,0,0,0,3,4,Shed,350,2,3,WD,Normal,3197.0
9,9,RM,51.0,6120,1,1,3,Lvl,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,4,BrkTil,4,4,3,6,0.0,6,0.0,952.0,952.0,GasA,2,1,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,3,8,2,2,5,Detchd,1931.0,3,2.0,468.0,1,5,2,90,0,205,0,0,0,3,4,None,0,6,2,WD,Abnorml,2726.0
10,4,RL,50.0,7420,1,1,3,Lvl,Corner,0,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,2,851.0,6,0.0,140.0,991.0,GasA,0,1,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,3,5,6,2,5,Attchd,1939.0,2,1.0,205.0,2,5,2,0,4,0,0,0,0,3,4,None,0,0,2,WD,Normal,2068.0
